EkeV          Fluxpos
  1.4876E+05  1.1408E-03
  1.5049E+05  1.1567E-03
  1.5223E+05  1.1727E-03
  1.5399E+05  1.1888E-03
  1.5578E+05  1.2050E-03
  1.5758E+05  1.2213E-03
  1.5940E+05  1.2378E-03
  1.6125E+05  1.2543E-03
  1.6312E+05  1.2709E-03
  1.6501E+05  1.2877E-03
  1.6692E+05  1.3045E-03
  1.6885E+05  1.3215E-03
  1.7080E+05  1.3385E-03
  1.7278E+05  1.3556E-03
  1.7478E+05  1.3728E-03
  1.7681E+05  1.3901E-03
  1.7885E+05  1.4074E-03
  1.8093E+05  1.4249E-03
  1.8302E+05  1.4424E-03
  1.8514E+05  1.4599E-03
  1.8728E+05  1.4776E-03
  1.8945E+05  1.4952E-03
  1.9165E+05  1.5130E-03
  1.9387E+05  1.5308E-03
  1.9611E+05  1.5486E-03
  1.9838E+05  1.5665E-03
  2.0068E+05  1.5844E-03
  2.0300E+05  1.6024E-03
  2.0535E+05  1.6203E-03
  2.0773E+05  1.6383E-03
  2.1014E+05  1.6564E-03
  2.1257E+05  1.6744E-03
  2.1503E+05  1.6924E-03
  2.1752E+05  1.7105E-03
  2.2004E+05  1.7285E-03
  2.2259E+05  1.7465E-03
  2.2516E+05  1.7645E-03
  2.2777E+05  1.7825E-03
  2.3041E+05  1.8005E-03
  2.3308E+05  1.8184E-03
  2.3578E+05  1.8363E-03
  2.3851E+05  1.8541E-03
  2.4127E+05  1.8719E-03
  2.4406E+05  1.8897E-03
  2.4689E+05  1.9074E-03
  2.4975E+05  1.9250E-03
  2.5264E+05  1.9425E-03
  2.5556E+05  1.9600E-03
  2.5852E+05  1.9773E-03
  2.6152E+05  1.9946E-03
  2.6455E+05  2.0117E-03
  2.6761E+05  2.0288E-03
  2.7071E+05  2.0457E-03
  2.7384E+05  2.0625E-03
  2.7701E+05  2.0792E-03
  2.8022E+05  2.0958E-03
  2.8347E+05  2.1122E-03
  2.8675E+05  2.1284E-03
  2.9007E+05  2.1445E-03
  2.9343E+05  2.1605E-03
  2.9682E+05  2.1762E-03
  3.0026E+05  2.1918E-03
  3.0374E+05  2.2072E-03
  3.0726E+05  2.2224E-03
  3.1081E+05  2.2374E-03
  3.1441E+05  2.2522E-03
  3.1805E+05  2.2668E-03
  3.2174E+05  2.2811E-03
  3.2546E+05  2.2952E-03
  3.2923E+05  2.3091E-03
  3.3304E+05  2.3228E-03
  3.3690E+05  2.3362E-03
  3.4080E+05  2.3493E-03
  3.4475E+05  2.3622E-03
  3.4874E+05  2.3748E-03
  3.5278E+05  2.3871E-03
  3.5686E+05  2.3991E-03
  3.6099E+05  2.4109E-03
  3.6517E+05  2.4223E-03
  3.6940E+05  2.4335E-03
  3.7368E+05  2.4443E-03
  3.7801E+05  2.4548E-03
  3.8238E+05  2.4650E-03
  3.8681E+05  2.4749E-03
  3.9129E+05  2.4844E-03
  3.9582E+05  2.4936E-03
  4.0041E+05  2.5025E-03
  4.0504E+05  2.5110E-03
  4.0973E+05  2.5191E-03
  4.1448E+05  2.5269E-03
  4.1928E+05  2.5343E-03
  4.2413E+05  2.5413E-03
  4.2904E+05  2.5480E-03
  4.3401E+05  2.5542E-03
  4.3904E+05  2.5601E-03
  4.4412E+05  2.5656E-03
  4.4926E+05  2.5707E-03
  4.5446E+05  2.5755E-03
  4.5973E+05  2.5798E-03
  4.6505E+05  2.5837E-03
  4.7044E+05  2.5871E-03
  4.7588E+05  2.5902E-03
  4.8139E+05  2.5929E-03
  4.8697E+05  2.5951E-03
  4.9261E+05  2.5970E-03
  4.9831E+05  2.5984E-03
  5.0408E+05  2.5994E-03
  5.0992E+05  2.5999E-03
  5.1582E+05  2.6000E-03
  5.2180E+05  2.5997E-03
  5.2784E+05  2.5990E-03
  5.3395E+05  2.5979E-03
  5.4013E+05  2.5963E-03
  5.4639E+05  2.5942E-03
  5.5271E+05  2.5918E-03
  5.5911E+05  2.5889E-03
  5.6559E+05  2.5856E-03
  5.7214E+05  2.5818E-03
  5.7876E+05  2.5777E-03
  5.8546E+05  2.5731E-03
  5.9224E+05  2.5680E-03
  5.9910E+05  2.5626E-03
  6.0604E+05  2.5567E-03
  6.1306E+05  2.5504E-03
  6.2015E+05  2.5437E-03
  6.2734E+05  2.5365E-03
  6.3460E+05  2.5290E-03
  6.4195E+05  2.5210E-03
  6.4938E+05  2.5127E-03
  6.5690E+05  2.5039E-03
  6.6451E+05  2.4947E-03
  6.7220E+05  2.4852E-03
  6.7999E+05  2.4752E-03
  6.8786E+05  2.4649E-03
  6.9582E+05  2.4541E-03
  7.0388E+05  2.4430E-03
  7.1203E+05  2.4315E-03
  7.2028E+05  2.4197E-03
  7.2862E+05  2.4075E-03
  7.3706E+05  2.3949E-03
  7.4559E+05  2.3820E-03
  7.5422E+05  2.3688E-03
  7.6296E+05  2.3552E-03
  7.7179E+05  2.3412E-03
  7.8073E+05  2.3270E-03
  7.8977E+05  2.3124E-03
  7.9891E+05  2.2975E-03
  8.0816E+05  2.2824E-03
  8.1752E+05  2.2669E-03
  8.2699E+05  2.2511E-03
  8.3657E+05  2.2350E-03
  8.4625E+05  2.2187E-03
  8.5605E+05  2.2021E-03
  8.6596E+05  2.1853E-03
  8.7599E+05  2.1682E-03
  8.8614E+05  2.1508E-03
  8.9640E+05  2.1332E-03
  9.0678E+05  2.1154E-03
  9.1728E+05  2.0974E-03
  9.2790E+05  2.0791E-03
  9.3864E+05  2.0607E-03
  9.4951E+05  2.0420E-03
  9.6051E+05  2.0232E-03
  9.7163E+05  2.0042E-03
  9.8288E+05  1.9850E-03
  9.9426E+05  1.9657E-03
  1.0058E+06  1.9462E-03
  1.0174E+06  1.9266E-03
  1.0292E+06  1.9069E-03
