EkeV          Fluxele
  1.2517E+05  1.1698E-02
  1.2662E+05  1.1876E-02
  1.2809E+05  1.2055E-02
  1.2957E+05  1.2236E-02
  1.3107E+05  1.2419E-02
  1.3259E+05  1.2603E-02
  1.3412E+05  1.2790E-02
  1.3568E+05  1.2977E-02
  1.3725E+05  1.3167E-02
  1.3884E+05  1.3358E-02
  1.4044E+05  1.3551E-02
  1.4207E+05  1.3746E-02
  1.4371E+05  1.3942E-02
  1.4538E+05  1.4140E-02
  1.4706E+05  1.4339E-02
  1.4876E+05  1.4540E-02
  1.5049E+05  1.4742E-02
  1.5223E+05  1.4946E-02
  1.5399E+05  1.5151E-02
  1.5578E+05  1.5358E-02
  1.5758E+05  1.5566E-02
  1.5940E+05  1.5775E-02
  1.6125E+05  1.5986E-02
  1.6312E+05  1.6198E-02
  1.6501E+05  1.6412E-02
  1.6692E+05  1.6626E-02
  1.6885E+05  1.6842E-02
  1.7080E+05  1.7059E-02
  1.7278E+05  1.7277E-02
  1.7478E+05  1.7496E-02
  1.7681E+05  1.7717E-02
  1.7885E+05  1.7938E-02
  1.8093E+05  1.8160E-02
  1.8302E+05  1.8383E-02
  1.8514E+05  1.8607E-02
  1.8728E+05  1.8832E-02
  1.8945E+05  1.9057E-02
  1.9165E+05  1.9283E-02
  1.9387E+05  1.9510E-02
  1.9611E+05  1.9737E-02
  1.9838E+05  1.9965E-02
  2.0068E+05  2.0193E-02
  2.0300E+05  2.0422E-02
  2.0535E+05  2.0651E-02
  2.0773E+05  2.0881E-02
  2.1014E+05  2.1110E-02
  2.1257E+05  2.1340E-02
  2.1503E+05  2.1570E-02
  2.1752E+05  2.1800E-02
  2.2004E+05  2.2030E-02
  2.2259E+05  2.2259E-02
  2.2516E+05  2.2489E-02
  2.2777E+05  2.2718E-02
  2.3041E+05  2.2947E-02
  2.3308E+05  2.3176E-02
  2.3578E+05  2.3404E-02
  2.3851E+05  2.3631E-02
  2.4127E+05  2.3858E-02
  2.4406E+05  2.4084E-02
  2.4689E+05  2.4309E-02
  2.4975E+05  2.4534E-02
  2.5264E+05  2.4757E-02
  2.5556E+05  2.4980E-02
  2.5852E+05  2.5201E-02
  2.6152E+05  2.5421E-02
  2.6455E+05  2.5640E-02
  2.6761E+05  2.5857E-02
  2.7071E+05  2.6073E-02
  2.7384E+05  2.6287E-02
  2.7701E+05  2.6500E-02
  2.8022E+05  2.6711E-02
  2.8347E+05  2.6920E-02
  2.8675E+05  2.7127E-02
  2.9007E+05  2.7332E-02
  2.9343E+05  2.7535E-02
  2.9682E+05  2.7736E-02
  3.0026E+05  2.7935E-02
  3.0374E+05  2.8131E-02
  3.0726E+05  2.8325E-02
  3.1081E+05  2.8516E-02
  3.1441E+05  2.8704E-02
  3.1805E+05  2.8890E-02
  3.2174E+05  2.9073E-02
  3.2546E+05  2.9253E-02
  3.2923E+05  2.9430E-02
  3.3304E+05  2.9604E-02
  3.3690E+05  2.9775E-02
  3.4080E+05  2.9942E-02
  3.4475E+05  3.0106E-02
  3.4874E+05  3.0267E-02
  3.5278E+05  3.0424E-02
  3.5686E+05  3.0577E-02
  3.6099E+05  3.0727E-02
  3.6517E+05  3.0873E-02
  3.6940E+05  3.1015E-02
  3.7368E+05  3.1153E-02
  3.7801E+05  3.1287E-02
  3.8238E+05  3.1417E-02
  3.8681E+05  3.1543E-02
  3.9129E+05  3.1664E-02
  3.9582E+05  3.1781E-02
  4.0041E+05  3.1894E-02
  4.0504E+05  3.2002E-02
  4.0973E+05  3.2106E-02
  4.1448E+05  3.2205E-02
  4.1928E+05  3.2300E-02
  4.2413E+05  3.2389E-02
  4.2904E+05  3.2474E-02
  4.3401E+05  3.2554E-02
  4.3904E+05  3.2629E-02
  4.4412E+05  3.2699E-02
  4.4926E+05  3.2764E-02
  4.5446E+05  3.2824E-02
  4.5973E+05  3.2879E-02
  4.6505E+05  3.2929E-02
  4.7044E+05  3.2973E-02
  4.7588E+05  3.3013E-02
  4.8139E+05  3.3047E-02
  4.8697E+05  3.3075E-02
  4.9261E+05  3.3099E-02
  4.9831E+05  3.3117E-02
  5.0408E+05  3.3129E-02
  5.0992E+05  3.3136E-02
  5.1582E+05  3.3138E-02
  5.2180E+05  3.3134E-02
  5.2784E+05  3.3125E-02
  5.3395E+05  3.3110E-02
  5.4013E+05  3.3090E-02
  5.4639E+05  3.3064E-02
  5.5271E+05  3.3033E-02
  5.5911E+05  3.2996E-02
  5.6559E+05  3.2954E-02
  5.7214E+05  3.2906E-02
  5.7876E+05  3.2853E-02
  5.8546E+05  3.2794E-02
  5.9224E+05  3.2730E-02
  5.9910E+05  3.2660E-02
  6.0604E+05  3.2585E-02
  6.1306E+05  3.2505E-02
  6.2015E+05  3.2419E-02
  6.2734E+05  3.2328E-02
  6.3460E+05  3.2232E-02
  6.4195E+05  3.2131E-02
  6.4938E+05  3.2024E-02
  6.5690E+05  3.1912E-02
  6.6451E+05  3.1795E-02
  6.7220E+05  3.1674E-02
  6.7999E+05  3.1547E-02
  6.8786E+05  3.1415E-02
  6.9582E+05  3.1278E-02
  7.0388E+05  3.1137E-02
  7.1203E+05  3.0990E-02
  7.2028E+05  3.0839E-02
  7.2862E+05  3.0684E-02
  7.3706E+05  3.0524E-02
  7.4559E+05  3.0359E-02
